Year,Season,RiverFlowFarmRiver,RiverFlowAgriburg,FarmLakeArea,FromAgriburgToFarmLake,FarmvilleResidentialUse,FarmvilleAgriculturalUse,AgriburgResidentialUse,AgriburgAgriculturalUse,FarmvilleHumanUse,AgriburgHumanUse,StartSeasonSurfaceArea,StartSeasonAverageDepth,StartSeasonVolume,GainsFarmvilleRiver,LossesFarmvilleUse,LossesFarmvilleResidential,LossesEvaporation,LossesGroundwaterTransportTowardsOcean,TotalLossOverWholeSeason,EndSeasonVolume,EndSeasonAverageDepth,EndSeasonSurfaceArea,CornYieldFarmville,CornYieldAgriburg,Farmville,Agriburg,WaterDemandCorn,WaterNeeded
1,Spring,250,350,80000,0,50,,40,,200,310,80000,14,48787200000,250,0,50,266.0825356,,-520994710.6,48266205289,14,79145.68623,,,,,,
1,Summer,100,180,79145.68623,0,100,46.55305294,70,55,-46.55305294,55,79145.68623,14,48266205289,100,46.55305294,100,263.2410609,,-2442416794,45823788496,14,75140.67378,166.0136255,202.6504,46.55305294,55,80443.67548,482662052.9
2,Spring,250,350,75140.67378,0,50,,40,,200,310,75140.67378,14,45823788496,250,0,50,249.9202626,,-393571350,45430217146,14,74495.30557,,,,,,
2,Summer,100,180,74495.30557,0,100,43.81772487,70,55,-43.81772487,55,74495.30557,14,45430217146,100,43.81772487,100,247.7737474,,-2298907168,43131309978,14,70725.61652,154.1497417,202.6504,43.81772487,55,75717.02858,454302171.5
3,Spring,250,350,70725.61652,0,50,,40,,200,310,70725.61652,14,43131309978,250,0,50,235.2356422,,-277797803,42853512175,14,70270.0908,,,,,,
3,Summer,100,180,70270.0908,0,100,41.33247702,70,55,-41.33247702,55,70270.0908,14,42853512175,100,41.33247702,100,233.7205492,,-2168518059,40684994116,14,66714.21048,143.3705259,202.6504,41.33247702,55,71422.52029,428535121.8
4,Spring,250,350,66714.21048,0,50,,40,,200,310,66714.21048,14,40684994116,250,0,50,221.8935785,,-172608973.2,40512385143,14,66431.17071,,,,,,
4,Summer,100,180,66431.17071,0,100,39.07444555,70,55,-39.07444555,55,66431.17071,14,40512385143,100,39.07444555,100,220.9521793,,-2050049910,38462335233,14,63069.55141,133.5768112,202.6504,39.07444555,55,67520.64191,405123851.4
5,Spring,250,350,63069.55141,0,50,,40,,200,310,63069.55141,14,38462335233,250,0,50,209.771327,,-77037141.9,38385298091,14,62943.22788,,,,,,
5,Summer,100,180,62943.22788,0,100,37.02285695,70,55,-37.02285695,55,62943.22788,14,38385298091,100,37.02285695,100,209.3511709,,-1942412836,36442885255,14,59758.1091,124.678497,202.6504,37.02285695,55,63975.49682,383852980.9
6,Spring,250,350,59758.1091,0,50,,40,,200,310,59758.1091,14,36442885255,250,0,50,198.7573649,,9796935.097,36452682190,14,59774.17387,,,,,,
6,Summer,100,180,59774.17387,0,100,35.15883699,70,55,-35.15883699,55,59774.17387,14,36452682190,100,35.15883699,100,198.8107968,,-1844616593,34608065597,14,56749.41886,116.5937205,202.6504,35.15883699,55,60754.47032,364526821.9
7,Spring,250,350,56749.41886,0,50,,40,,200,310,56749.41886,14,34608065597,250,0,50,188.7503658,,88692116.07,34696757713,14,56894.85392,,,,,,
7,Summer,100,180,56894.85392,0,100,33.46523699,70,55,-33.46523699,55,56894.85392,14,34696757713,100,33.46523699,100,189.2340874,,-1755761474,32940996240,14,54015.80126,109.2481031,202.6504,33.46523699,55,57827.92952,346967577.1
8,Spring,250,350,54015.80126,0,50,,40,,200,310,54015.80126,14,32940996240,250,0,50,179.658267,,160374222.9,33101370463,14,54278.7788,,,,,,
8,Summer,100,180,54278.7788,0,100,31.92647614,70,55,-31.92647614,55,54278.7788,14,33101370463,100,31.92647614,100,180.5329386,,-1675030026,31426340437,14,51532.1075,102.5740664,202.6504,31.92647614,55,55168.95077,331013704.6
9,Spring,250,350,51532.1075,0,50,,40,,200,310,51532.1075,14,31426340437,250,0,50,171.3974228,,225502718.3,31651843155,14,51901.88108,,,,,,
